file-crypt,file-register,file-socket,crypt-register,crypt-socket,register-socket,label,,,,FC,FR,FS,CR,CS,RS
-0.122106772,-0.134822836,-0.115802575,-0.089613521,-0.06262966,0.949870362,3,,,Cerber,-0.096831977,-0.203652332,-0.0762953,-0.133501635,-0.062327211,0.538790903
-0.121899223,-0.133158904,-0.111843956,-0.088900217,-0.062626499,0.946792594,3,,,CryptoLocker,0.793223544,-0.114946973,0.012602906,-0.129867665,0.121397764,-0.190833664
-0.102493779,-0.133968256,-0.081072358,-0.099639696,-0.062495637,0.837115973,3,,,CryptoWall,0.078652491,-0.125191677,-0.221232522,-0.095701389,0.093453368,-0.163935739
-0.101601943,-0.167281691,-0.079594082,-0.124384115,-0.062495637,0.741176242,3,,,Genasom,-0.040374933,0.1452902,-0.077653157,-0.075687863,0.27715254,0.067218292
-0.101570576,-0.157653916,-0.078904189,-0.11971885,-0.062495637,0.801407641,3,,,Jigsaw,0.631070301,-0.218399234,0,-0.117702412,0,0
-0.114843586,-0.166651314,-0.094622403,-0.11542687,-0.062528964,0.838710139,3,,,Locky,-0.087309598,-0.038972368,0.250675145,-0.116159004,-0.055600023,0.393528317
-0.113995861,-0.164932222,-0.094561807,-0.115412446,-0.062528964,0.836408769,3,,,Petya,0.245439351,-0.12587948,-0.098171689,-0.026514735,-0.028931878,-0.114162763
-0.099655362,-0.149330463,-0.078568757,-0.114037489,-0.062368805,0.827609239,3,,,Reveton,-0.051026058,0.271773947,-0.155812063,-0.140383972,-0.053432696,-0.017971168
-0.106447627,-0.15316156,-0.086021459,-0.111594431,-0.062407064,0.847919108,3,,,Teslacrypt,-0.010248674,-0.096352837,-0.123187283,-0.124919195,0.395251724,-0.173446539
-0.097360027,-0.141647125,-0.07648465,-0.110156534,-0.062259439,0.841436133,3,,,Benign,-0.054207708,-0.087002458,-0.024519367,-0.111514466,-0.054602651,0.210074194
-0.097471838,-0.135773912,-0.07658185,-0.105297534,-0.062258769,0.631312579,3,,,,,,,,,
-0.096513405,-0.152986287,-0.075837895,-0.117207222,-0.062258769,0.603438596,3,,,,,,,,,
-0.096506874,-0.154463882,-0.075812931,-0.118760427,-0.062258769,0.604609987,3,,,,,,,,,
-0.090545673,-0.14816739,-0.069782485,-0.117900487,-0.062236958,0.625567626,3,,,,,,,,,
-0.095738919,-0.177085118,-0.085278252,-0.117499925,-0.062236958,0.649498199,3,,,,,,,,,
-0.095740149,-0.172398784,-0.08514468,-0.110911091,-0.06223942,0.585489111,3,,,,,,,,,
-0.095749419,-0.172087016,-0.085154639,-0.11137532,-0.06223942,0.590274616,3,,,,,,,,,
-0.09575174,-0.172083323,-0.085140438,-0.111377462,-0.06223942,0.590272067,3,,,,,,,,,
-0.095752838,-0.172084863,-0.085141269,-0.111377462,-0.06223942,0.590272067,3,,,,,,,,,
-0.095825234,-0.16887154,-0.084414685,-0.105768606,-0.062190778,0.528464488,3,,,,,,,,,
-0.096769,-0.166410608,-0.083216463,-0.107468049,-0.062192035,0.546106798,3,,,,,,,,,
-0.09670337,-0.167411261,-0.083233552,-0.108317713,-0.061933439,0.542574698,3,,,,,,,,,
-0.094405502,-0.163978598,-0.080307202,-0.108276504,-0.061896712,0.557667401,3,,,,,,,,,
-0.101457265,-0.167375128,-0.073780549,-0.109587258,-0.062267705,0.598633217,3,,,,,,,,,
-0.101274197,-0.17351976,-0.073628466,-0.113928323,-0.062267705,0.590397223,3,,,,,,,,,
-0.103461494,-0.16911028,-0.066337806,-0.114536885,-0.062359656,0.618601475,3,,,,,,,,,
-0.102930073,-0.169480022,-0.066106162,-0.11429058,-0.062344763,0.614344173,3,,,,,,,,,
-0.102618667,-0.174313309,-0.065800656,-0.117625267,-0.062344763,0.60476026,3,,,,,,,,,
-0.098900765,-0.184270816,-0.075101242,-0.118511814,-0.062344763,0.432599757,3,,,,,,,,,
-0.09877125,-0.186698552,-0.07490898,-0.120411397,-0.062344763,0.433108578,3,,,,,,,,,
-0.098440311,-0.186091295,-0.074500331,-0.120327293,-0.062344342,0.443742307,3,,,,,,,,,
-0.098068064,-0.185503277,-0.073950427,-0.120398684,-0.062332608,0.452637287,3,,,,,,,,,
-0.098068149,-0.18550488,-0.073948712,-0.120400175,-0.062332608,0.452633051,3,,,,,,,,,
-0.098068529,-0.185505474,-0.073949046,-0.120400175,-0.062332608,0.452633051,3,,,,,,,,,
-0.097948215,-0.187305734,-0.073402857,-0.122103294,-0.062378964,0.455393848,3,,,,,,,,,
-0.097915448,-0.18909482,-0.072908745,-0.123610307,-0.06240679,0.456848374,3,,,,,,,,,
-0.097913207,-0.188553703,-0.072815933,-0.123962765,-0.06240679,0.478013652,3,,,,,,,,,
-0.097513256,-0.187796327,-0.072288531,-0.123907686,-0.062403784,0.486015123,3,,,,,,,,,
-0.097714201,-0.187658001,-0.072421344,-0.12392077,-0.062406651,0.49463497,3,,,,,,,,,
-0.097504708,-0.188755796,-0.074226776,-0.123946778,-0.062406651,0.50302095,3,,,,,,,,,
-0.097164301,-0.187814612,-0.073689708,-0.123728426,-0.062403918,0.510024067,3,,,,,,,,,
-0.097164841,-0.187969618,-0.073687755,-0.124019987,-0.062403918,0.511843704,3,,,,,,,,,
-0.096785312,-0.186965162,-0.073180934,-0.123804273,-0.062396378,0.518611695,3,,,,,,,,,
-0.096786408,-0.186895339,-0.073179568,-0.123909202,-0.062396378,0.520586882,3,,,,,,,,,
-0.096783335,-0.187122032,-0.073255547,-0.12238346,-0.062388021,0.506450429,3,,,,,,,,,
-0.096371382,-0.186317337,-0.072732468,-0.122351015,-0.06238033,0.512113279,3,,,,,,,,,
-0.096336272,-0.187213236,-0.07267282,-0.123138118,-0.06238033,0.512042125,3,,,,,,,,,
-0.096330097,-0.188546375,-0.072315092,-0.122327038,-0.06237429,0.503969788,3,,,,,,,,,
-0.09589582,-0.187449542,-0.07180765,-0.122138188,-0.062366048,0.510353012,3,,,,,,,,,
-0.095897989,-0.189282459,-0.071513127,-0.123628092,-0.062366048,0.507307384,3,,,,,,,,,
-0.095897989,-0.225897699,-0.071513127,-0.146841906,-0.062366048,0.427019375,3,,,,,,,,,
-0.095890947,-0.225932551,-0.071489395,-0.146889833,-0.062296771,0.42669793,3,,,,,,,,,
-0.096546465,-0.226473431,-0.072520725,-0.146877694,-0.062300907,0.433861194,3,,,,,,,,,
-0.096543365,-0.225907086,-0.072484143,-0.146953102,-0.062300907,0.446812861,3,,,,,,,,,
-0.096403082,-0.227169106,-0.072334863,-0.147978994,-0.062300907,0.446777977,3,,,,,,,,,
-0.095913589,-0.228416233,-0.075203957,-0.147951381,-0.062300907,0.453401438,3,,,,,,,,,
-0.095924651,-0.22791806,-0.075237499,-0.1468,-0.062298031,0.449485818,3,,,,,,,,,
-0.095922269,-0.22714451,-0.075218388,-0.146756485,-0.062298031,0.464432703,3,,,,,,,,,
-0.095591552,-0.226394955,-0.074746793,-0.146637094,-0.062293599,0.463897472,3,,,,,,,,,
-0.096036044,-0.226605411,-0.075298665,-0.146570451,-0.062297846,0.469998453,3,,,,,,,,,
-0.095683459,-0.22567449,-0.074828592,-0.146369056,-0.062287149,0.470400076,3,,,,,,,,,
-0.095683641,-0.225459149,-0.074826875,-0.146388744,-0.062287149,0.472860894,3,,,,,,,,,
-0.096120163,-0.225550482,-0.075488978,-0.146312528,-0.062291169,0.478736807,3,,,,,,,,,
-0.09612068,-0.225341223,-0.075488748,-0.146261604,-0.062291169,0.480792395,3,,,,,,,,,
-0.09612068,-0.225341223,-0.075488748,-0.146261604,-0.062291169,0.480792395,3,,,,,,,,,
-0.096121256,-0.225171431,-0.075488596,-0.146277056,-0.062291169,0.482979177,3,,,,,,,,,
-0.096078171,-0.225951365,-0.07538903,-0.146959289,-0.062291169,0.483090633,3,,,,,,,,,
-0.095707961,-0.224950909,-0.074912533,-0.146751314,-0.062284679,0.483066059,3,,,,,,,,,
-0.095717388,-0.22421643,-0.074951286,-0.145514059,-0.062288603,0.470940565,3,,,,,,,,,
-0.095343906,-0.223094849,-0.074465564,-0.145369738,-0.062281522,0.475863494,3,,,,,,,,,
-0.095058168,-0.224713866,-0.077510362,-0.145183469,-0.062281522,0.488335814,3,,,,,,,,,
-0.095351714,-0.225063755,-0.077788064,-0.145167334,-0.062285492,0.488402351,3,,,,,,,,,
-0.095250488,-0.2264399,-0.077588695,-0.146276971,-0.062285492,0.486511067,3,,,,,,,,,
-0.095567988,-0.225571025,-0.077199059,-0.146143916,-0.062289354,0.493010813,3,,,,,,,,,
-0.095583482,-0.224426165,-0.0770375,-0.144656723,-0.062284659,0.480021337,3,,,,,,,,,
-0.095530035,-0.224893784,-0.076916411,-0.145119619,-0.062289105,0.480301896,3,,,,,,,,,
-0.095531989,-0.224900659,-0.076679345,-0.145300388,-0.062320921,0.4824642,3,,,,,,,,,
-0.0952443,-0.223765381,-0.076264664,-0.145016867,-0.062315601,0.486986442,3,,,,,,,,,
-0.094940394,-0.222625845,-0.075857885,-0.144737431,-0.062310331,0.491344171,3,,,,,,,,,
-0.094889275,-0.222994868,-0.076586765,-0.144668186,-0.062310331,0.495955978,3,,,,,,,,,
-0.094509713,-0.22291709,-0.076540987,-0.144823056,-0.06231091,0.500145672,3,,,,,,,,,
-0.094509713,-0.222919616,-0.076540987,-0.144824735,-0.06231091,0.500142914,3,,,,,,,,,
-0.09458969,-0.222215924,-0.076357064,-0.144631602,-0.062315958,0.510299929,3,,,,,,,,,
-0.09458612,-0.221367507,-0.0762922,-0.144430006,-0.062320831,0.5202266,3,,,,,,,,,
-0.094596852,-0.220740486,-0.076187728,-0.143151645,-0.062317086,0.512578607,3,,,,,,,,,
-0.094535898,-0.221164527,-0.076081754,-0.143575442,-0.062320231,0.512237911,3,,,,,,,,,
-0.094536331,-0.221008939,-0.076081625,-0.143524579,-0.062320231,0.513491375,3,,,,,,,,,
-0.0945365,-0.221009258,-0.076081775,-0.143524579,-0.062320231,0.513491375,3,,,,,,,,,
-0.094275458,-0.219948826,-0.075694695,-0.143260901,-0.0623163,0.517323334,3,,,,,,,,,
-0.094082114,-0.221988183,-0.075409095,-0.144801726,-0.062333118,0.512754483,3,,,,,,,,,
-0.094082613,-0.221811731,-0.075409082,-0.144777529,-0.062333118,0.513915079,3,,,,,,,,,
-0.09408332,-0.221633493,-0.075400199,-0.144723306,-0.062333118,0.515130744,3,,,,,,,,,
-0.093809697,-0.220557329,-0.075027623,-0.144457113,-0.062328053,0.518687736,3,,,,,,,,,
-0.093816534,-0.219870128,-0.075049325,-0.143326166,-0.062330151,0.510131776,3,,,,,,,,,
-0.093818181,-0.219948813,-0.075405161,-0.143254803,-0.062330151,0.51396632,3,,,,,,,,,
-0.093688846,-0.220759834,-0.075237795,-0.143965845,-0.062330151,0.511555412,3,,,,,,,,,
-0.09369635,-0.220385484,-0.075176481,-0.142850232,-0.062326305,0.507187864,3,,,,,,,,,
-0.093670038,-0.220643381,-0.075143042,-0.143151925,-0.062326305,0.506694746,3,,,,,,,,,
-0.093666571,-0.2199838,-0.075092915,-0.142987563,-0.062328574,0.515173683,3,,,,,,,,,
-0.093669823,-0.220550285,-0.075964002,-0.14291757,-0.062328574,0.518794724,3,,,,,,,,,
-0.094677967,-0.223396627,-0.077996878,-0.14257519,-0.062324142,0.50557877,3,,,,,,,,,
-0.0946835,-0.222792713,-0.077947591,-0.141467642,-0.062323494,0.497753491,3,,,,,,,,,
-0.094522256,-0.22206494,-0.07774486,-0.141258094,-0.062319131,0.501047044,3,,,,,,,,,
-0.094358408,-0.221298259,-0.077477854,-0.141042702,-0.062319089,0.504201364,3,,,,,,,,,
-0.094348597,-0.221067465,-0.077473933,-0.140989995,-0.062319089,0.507635647,3,,,,,,,,,
-0.094255168,-0.221422013,-0.078263453,-0.140933386,-0.062319089,0.511055993,3,,,,,,,,,
-0.09508067,-0.219873907,-0.075979739,-0.140657342,-0.062316783,0.520983348,3,,,,,,,,,
-0.095285045,-0.219228684,-0.075548123,-0.140582096,-0.062318858,0.527918311,3,,,,,,,,,
-0.095285045,-0.219229953,-0.075548123,-0.140582916,-0.062318858,0.527915913,3,,,,,,,,,
-0.095275718,-0.218718585,-0.075581157,-0.140423318,-0.062319231,0.521545974,3,,,,,,,,,
-0.095268441,-0.218915878,-0.07555401,-0.140654007,-0.062319231,0.521330784,3,,,,,,,,,
-0.095268074,-0.21875033,-0.075553244,-0.140641257,-0.062319231,0.522055828,3,,,,,,,,,
-0.09506137,-0.219148065,-0.076586203,-0.140579864,-0.062319231,0.525145186,3,,,,,,,,,
-0.094962809,-0.218559579,-0.076401296,-0.140369032,-0.062314953,0.527800877,3,,,,,,,,,
-0.095473791,-0.218389825,-0.075016853,-0.140638463,-0.06233551,0.527892704,3,,,,,,,,,
-0.095371003,-0.2190991,-0.074902901,-0.141244159,-0.06233551,0.526178488,3,,,,,,,,,
-0.095371965,-0.218543656,-0.074877556,-0.141108147,-0.06233551,0.53185364,3,,,,,,,,,
-0.095371739,-0.218427035,-0.074876311,-0.141068251,-0.06233551,0.5326759,3,,,,,,,,,
-0.095300537,-0.218129512,-0.074728363,-0.140925452,-0.062331766,0.532304392,3,,,,,,,,,
-0.095623438,-0.218181789,-0.075105869,-0.140847581,-0.06233462,0.535180802,3,,,,,,,,,
-0.095933879,-0.218211603,-0.075463929,-0.140768632,-0.06233742,0.538028624,3,,,,,,,,,
-0.095843732,-0.217774698,-0.075310579,-0.140618268,-0.062336063,0.540339572,3,,,,,,,,,
-0.096303235,-0.216584541,-0.074103893,-0.140409848,-0.062340716,0.546400438,3,,,,,,,,,
-0.096211473,-0.216958726,-0.074452637,-0.140533803,-0.062340716,0.531279892,3,,,,,,,,,
-0.096463317,-0.215174896,-0.073015874,-0.140289396,-0.062342653,0.536583998,3,,,,,,,,,
-0.096467447,-0.214546699,-0.073031683,-0.139420499,-0.062342083,0.52828135,3,,,,,,,,,
-0.096104618,-0.215150312,-0.074463015,-0.139366478,-0.062342083,0.530893911,3,,,,,,,,,
-0.096104711,-0.215151531,-0.074463097,-0.139367151,-0.062342083,0.530893012,3,,,,,,,,,
-0.096105082,-0.215044926,-0.074463178,-0.139333123,-0.062342083,0.531639864,3,,,,,,,,,
-0.096064313,-0.214747782,-0.074360612,-0.139205735,-0.062338945,0.533721914,3,,,,,,,,,
-0.096016577,-0.214356515,-0.074261127,-0.13902501,-0.062335353,0.536014779,3,,,,,,,,,
-0.096102214,-0.214222002,-0.074334257,-0.138960276,-0.062337103,0.538537696,3,,,,,,,,,
-0.096102303,-0.214222382,-0.074334342,-0.138960457,-0.062337103,0.538537532,3,,,,,,,,,
-0.096316792,-0.214144335,-0.07445465,-0.138917408,-0.062338974,0.538137768,3,,,,,,,,,
-0.096251481,-0.213750651,-0.074408122,-0.138732726,-0.062337697,0.540173104,3,,,,,,,,,
-0.096251733,-0.213423923,-0.074394026,-0.13865548,-0.062337697,0.543210134,3,,,,,,,,,
-0.096450339,-0.212978556,-0.074578803,-0.138397819,-0.062338875,0.547900025,3,,,,,,,,,
-0.096450465,-0.212833276,-0.074578212,-0.138372018,-0.062338875,0.548438882,3,,,,,,,,,
-0.096386482,-0.212401477,-0.074465934,-0.138191485,-0.062338457,0.550342013,3,,,,,,,,,
-0.096319335,-0.212143072,-0.074351239,-0.138118429,-0.062337673,0.551953285,3,,,,,,,,,
-0.096247778,-0.211791677,-0.074238988,-0.137984149,-0.062334212,0.553752267,3,,,,,,,,,
-0.096247917,-0.2117928,-0.074239121,-0.137984746,-0.062334212,0.553751531,3,,,,,,,,,
-0.096174147,-0.211536272,-0.074127107,-0.137864569,-0.062329848,0.553226322,3,,,,,,,,,
-0.096173398,-0.210940209,-0.074133817,-0.137080999,-0.062329387,0.549045032,3,,,,,,,,,
-0.096090611,-0.210513195,-0.074013374,-0.136917242,-0.062325625,0.551057355,3,,,,,,,,,
0,0.078028897,0,0,0,0,1,,,,,,,,,
0,-0.112826572,-0.104811946,0,0,-0.074567233,1,,,,,,,,,
0,-0.106230464,-0.166615873,0,0,0.255259134,1,,,,,,,,,
0,-0.106814721,-0.166589637,0,0,0.257087836,1,,,,,,,,,
0,-0.12958937,-0.165700221,0,0,0.198514125,1,,,,,,,,,
0,-0.12958937,-0.165700221,0,0,0.198514125,1,,,,,,,,,
0,-0.129887328,-0.165700221,0,0,0.198019703,1,,,,,,,,,
0,-0.129887328,-0.165700221,0,0,0.198019703,1,,,,,,,,,
-0.071311319,-0.125758176,-0.167488803,-0.133427908,0.295682158,0.256871123,1,,,,,,,,,
-0.067344089,-0.126573612,-0.168132064,-0.132034155,0.304839635,0.259070658,1,,,,,,,,,
-0.067339818,-0.126579425,-0.168130751,-0.132039625,0.304839635,0.25908292,1,,,,,,,,,
-0.063255742,-0.131208455,-0.15874807,-0.132934188,0.202690695,0.137124529,1,,,,,,,,,
-0.063009885,-0.131224409,-0.158824201,-0.132486635,0.20592535,0.136688421,1,,,,,,,,,
-0.062998043,-0.131425136,-0.159416095,-0.132738303,0.206788469,0.13767583,1,,,,,,,,,
-0.065262127,-0.130245276,-0.16360548,-0.133785356,0.179095056,0.154289737,1,,,,,,,,,
-0.064481288,-0.130885156,-0.163594574,-0.131331634,0.179857316,0.154663716,1,,,,,,,,,
-0.064468674,-0.131111741,-0.153262305,-0.131679184,0.136724279,0.084366484,1,,,,,,,,,
-0.064462971,-0.131129019,-0.153260909,-0.131694955,0.136724279,0.084432299,1,,,,,,,,,
-0.062543887,-0.13341931,-0.153480482,-0.130843075,0.143199431,0.079964833,1,,,,,,,,,
-0.062543887,-0.133424797,-0.153531602,-0.130848498,0.14453928,0.079796012,1,,,,,,,,,
-0.062484939,-0.13346491,-0.15352986,-0.130825442,0.144607263,0.079560742,1,,,,,,,,,
-0.062476223,-0.133583728,-0.153830628,-0.131008516,0.146388795,0.080100324,1,,,,,,,,,
-0.062465356,-0.133710233,-0.154088522,-0.131181572,0.147920263,0.080326017,1,,,,,,,,,
-0.062456307,-0.133822981,-0.154371602,-0.131306215,0.149613141,0.080793368,1,,,,,,,,,
-0.062940328,-0.134576094,-0.155504308,-0.131256046,0.152187761,0.081916736,1,,,,,,,,,
-0.062892746,-0.134579035,-0.155504053,-0.131169384,0.152254874,0.08192498,1,,,,,,,,,
-0.062881828,-0.134674976,-0.155446181,-0.131277014,0.1524931,0.081177034,1,,,,,,,,,
-0.066653074,-0.098015314,-0.172453886,-0.131316543,0.176458233,0.118716072,1,,,,,,,,,
-0.0672217,-0.099493591,-0.173882276,-0.131046898,0.178950896,0.121695103,1,,,,,,,,,
-0.068106719,-0.102094764,-0.176410633,-0.132073019,0.16059169,0.133768588,1,,,,,,,,,
-0.068105278,-0.102100024,-0.176410348,-0.132077395,0.16059169,0.133782511,1,,,,,,,,,
-0.066472244,-0.103205273,-0.177431212,-0.132955362,0.16059169,0.134206242,1,,,,,,,,,
-0.066471739,-0.104063555,-0.174236989,-0.135089095,0.045185332,0.467341981,1,,,,,,,,,
-0.066462346,-0.104081022,-0.174444818,-0.135127326,0.04642164,0.464545463,1,,,,,,,,,
-0.066412025,-0.104081025,-0.174444818,-0.135033719,0.046492212,0.464544776,1,,,,,,,,,
-0.066216309,-0.104106273,-0.174444228,-0.134759281,0.046754119,0.464144371,1,,,,,,,,,
-0.066616801,-0.105022779,-0.175421354,-0.13459014,0.048300817,0.466797282,1,,,,,,,,,
-0.066616897,-0.105047652,-0.175421584,-0.13461346,0.048300817,0.466863654,1,,,,,,,,,
-0.066606253,-0.105043231,-0.17562808,-0.134621261,0.049517908,0.464142158,1,,,,,,,,,
-0.066606444,-0.105052205,-0.175670176,-0.134629338,0.05028718,0.464039135,1,,,,,,,,,
-0.066592971,-0.104937912,-0.178308174,-0.134678723,0.061692216,0.407779863,1,,,,,,,,,
-0.066987779,-0.105830674,-0.179271601,-0.134553199,0.063038474,0.409799914,1,,,,,,,,,
-0.066799224,-0.107216206,-0.178750509,-0.134082494,0.059225089,0.413075193,1,,,,,,,,,
-0.067396547,-0.108131098,-0.180227594,-0.133481176,0.060549088,0.421966438,1,,,,,,,,,
-0.067182105,-0.108369373,-0.180224602,-0.132233924,0.06081289,0.421638778,1,,,,,,,,,
-0.067187171,-0.10864131,-0.180210527,-0.133109325,0.06081289,0.418115498,1,,,,,,,,,
-0.06542769,-0.109130348,-0.180111754,-0.133482007,0.06081289,0.416806322,1,,,,,,,,,
-0.065793063,-0.109888801,-0.180993365,-0.133301342,0.062136678,0.418984033,1,,,,,,,,,
-0.066176163,-0.110620339,-0.181938471,-0.133111835,0.063460125,0.421248122,1,,,,,,,,,
-0.066296865,-0.110623978,-0.182043339,-0.133216647,0.065186772,0.417880904,1,,,,,,,,,
-0.06614599,-0.111102328,-0.182034483,-0.133524007,0.065329922,0.417196959,1,,,,,,,,,
-0.066133653,-0.110937049,-0.182336213,-0.133525255,0.071258404,0.374969363,1,,,,,,,,,
-0.066129167,-0.110949568,-0.182335762,-0.133535758,0.071258404,0.375009194,1,,,,,,,,,
-0.066121834,-0.11087864,-0.182417206,-0.133532996,0.072438043,0.372711179,1,,,,,,,,,
-0.064657879,-0.110899796,-0.183553734,-0.134038256,0.072438043,0.370998413,1,,,,,,,,,
-0.064658948,-0.11091748,-0.183563527,-0.134072187,0.072908561,0.371171178,1,,,,,,,,,
-0.06465055,-0.110822805,-0.183623398,-0.134042427,0.073362185,0.369214431,1,,,,,,,,,
-0.064638295,-0.110625745,-0.182898642,-0.134021505,0.078485703,0.330586642,1,,,,,,,,,
-0.064629811,-0.110447238,-0.182937511,-0.13399972,0.078867464,0.328031523,1,,,,,,,,,
-0.065275664,-0.110831743,-0.184476572,-0.13279137,0.079907457,0.337968873,1,,,,,,,,,
-0.065279392,-0.110780853,-0.157236385,-0.133465107,0.013695526,0.584846382,1,,,,,,,,,
