CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW
0,0,0,0,0,0
0,0,0,0,0,4903
0,0,0,0,0,5755
0,0,0,0,0,5756
0,0,0,0,0,5763
0,0,0,0,0,5768
0,0,0,0,0,5769
0,0,0,0,0,5769
0,0,0,0,0,10368
0,0,0,0,0,10374
0,0,0,0,0,10375
0,0,0,0,0,10379
0,0,0,0,0,13841
0,0,0,0,0,13846
0,0,0,0,0,13848
0,0,0,0,0,13853
0,0,0,0,0,13860
0,0,0,0,0,18788
0,0,0,0,0,18789
0,0,0,0,0,18794
0,0,0,0,0,18795
0,0,0,0,0,18800
0,0,0,0,0,18807
0,0,0,0,0,18807
0,0,0,0,0,18812
0,0,0,0,0,18819
0,0,0,0,0,18822
0,0,0,0,0,18822
0,0,0,0,0,18822
0,0,0,0,0,18829
0,0,0,0,0,23763
0,0,0,0,0,23764
0,0,0,0,0,28704
0,0,0,0,0,28704
0,0,0,0,0,28709
0,0,0,0,0,28716
0,0,0,0,0,33626
0,0,0,0,0,33627
0,0,0,0,0,36034
0,0,0,0,0,36035
0,0,0,0,0,36036
0,0,0,0,0,40971
0,0,0,0,0,40976
0,0,0,0,0,40977
0,0,0,0,0,40978
0,0,0,0,0,40979
0,0,0,0,0,40983
0,0,0,0,0,40984
0,0,0,0,0,40985
0,0,0,0,0,40992
0,0,0,0,0,40997
0,0,0,0,0,41002
0,0,0,0,0,41002
0,0,0,0,0,41009
0,0,0,0,0,41009
0,0,0,0,0,41012
0,0,0,0,0,41013
0,0,0,0,0,41014
0,0,0,0,0,41014
0,0,0,0,0,41019
0,0,0,0,0,41934
0,0,0,0,0,41934
0,0,0,0,0,41939
0,0,0,0,0,41940
0,0,0,0,0,41945
0,0,0,0,0,46877
0,0,0,0,0,46878
0,0,0,0,0,46885
0,0,0,0,0,51819
0,0,0,0,0,51824
0,0,0,0,0,51827
0,0,0,0,0,51832
0,0,0,0,0,51839
0,0,0,0,0,51840
0,0,0,0,0,51846
0,0,0,0,0,51847
0,0,0,0,0,51847
0,0,0,0,0,51847
0,0,0,0,0,56786
0,0,0,0,0,56787
0,0,0,0,0,56788
0,0,0,0,0,56788
0,0,0,0,0,56788
0,0,0,0,0,56795
0,0,0,0,0,56796
0,0,0,0,0,56801
0,0,0,0,0,60421
0,0,0,0,0,60428
0,0,0,0,0,60431
0,0,0,0,0,60436
0,0,0,0,0,60443
0,0,0,0,0,60444
0,0,0,0,0,65347
0,0,0,0,0,65348
0,0,0,0,0,65349
0,0,0,0,0,65356
0,0,0,0,0,65356
0,0,0,0,0,65361
0,0,0,0,0,65362
0,0,0,0,0,70284
0,0,0,0,0,70285
0,0,0,0,0,70290
0,0,0,0,0,70297
0,0,0,0,0,70304
0,0,0,0,0,70308
0,0,0,0,0,70309
0,0,0,0,0,72658
0,0,0,0,0,72659
0,0,0,0,0,72659
0,0,0,0,0,72659
0,0,0,0,0,77599
0,0,0,0,0,77606
0,0,0,0,0,77607
0,0,0,0,0,79737
0,0,0,0,0,79738
0,0,0,0,0,79745
0,0,0,0,0,79745
0,0,0,0,0,79750
0,0,0,0,0,79753
0,0,0,0,0,79760
0,0,0,0,0,79765
0,0,0,0,0,79770
0,0,0,0,0,79770
0,0,0,0,0,79771
0,0,0,0,0,79771
0,0,0,0,0,79776
0,0,0,0,0,79777
0,0,0,0,0,79778
0,0,0,0,0,79785
0,0,0,0,0,79786
0,0,0,0,0,79791
0,0,0,0,0,79792
0,0,0,0,0,79796
0,0,0,0,0,79796
0,0,0,0,0,79801
0,0,0,0,0,79802
0,0,0,0,0,79803
0,0,0,0,0,79804
0,0,0,0,0,79810
0,0,0,0,0,79817
0,0,0,0,0,79821
0,0,0,0,0,79821
0,0,0,0,0,79826
0,0,0,0,0,79827
0,0,0,0,0,79834
0,0,0,0,0,79835
0,0,0,0,0,79836
0,0,0,0,0,79836
0,0,0,0,0,79836
0,0,0,0,0,79841
0,0,0,0,0,79848
0,0,0,0,0,79853
0,0,0,0,0,79857
0,0,0,0,0,79862
0,0,0,0,0,79863
0,0,0,0,0,79863
0,0,0,0,0,83981
0,0,0,0,0,84709
0,0,0,0,0,84710
0,0,0,0,0,84710
0,0,0,0,0,84710
0,0,0,0,0,84717
0,0,0,0,0,84724
0,0,0,0,0,84724
0,0,0,0,0,84725
0,0,0,0,0,84726
0,0,0,0,0,84726
0,0,0,0,0,84731
0,0,0,0,0,84731
0,0,0,0,0,84733
0,0,0,0,0,84734
0,0,0,0,0,84741
0,0,0,0,0,84742
0,0,0,0,0,84743
0,0,0,0,0,84744
0,0,0,0,0,84749
0,0,0,0,0,84756
0,0,0,0,0,84757
0,0,0,0,0,89672
0,0,0,0,0,94569
0,0,0,0,0,94574
0,0,0,0,0,94575
0,0,0,0,0,94575
0,0,0,0,0,94579
0,0,0,0,0,94581
0,0,0,0,0,94588
0,0,0,0,0,94595
0,0,0,0,0,94595
0,0,0,0,0,94600
0,0,0,0,0,94600
0,0,0,0,0,94608
0,0,0,0,0,94609
0,0,0,0,0,94614
0,0,0,0,0,94618
0,0,0,0,0,96163
0,0,0,0,0,96169
0,0,0,0,0,96169
0,0,0,0,0,101100
0,0,0,0,0,101107
0,0,0,0,0,101113
0,0,0,0,0,101116
0,0,0,0,0,101117
0,0,0,0,0,101118
0,0,0,0,0,102332
0,0,0,0,0,102336
0,0,0,0,0,107234
0,0,0,0,0,107235
0,0,0,0,0,107242
0,0,0,0,0,107247
0,0,0,0,0,107252
0,0,0,0,0,107257
0,0,0,0,0,107257
0,0,0,0,0,107261
0,0,0,0,0,107266
0,0,0,0,0,111360
0,0,0,0,0,111367
0,0,0,0,0,111373
0,0,0,0,0,111374
0,0,0,0,0,113496
0,0,0,0,0,113501
0,0,0,0,0,113508
0,0,0,0,0,113509
0,0,0,0,0,113514
0,0,0,0,0,113521
0,0,0,0,0,113528
0,0,0,0,0,113535
0,0,0,0,0,118461
0,0,0,0,0,118468
0,0,0,0,0,118475
0,0,0,0,0,123398
0,0,0,0,0,123405
0,0,0,0,0,123412
0,0,0,0,0,123419
0,0,0,0,0,123426
0,0,0,0,0,123433
0,0,0,0,0,123440
0,0,0,0,0,123441
0,0,0,0,0,125757
0,0,1,0,0,125764
0,0,1,0,0,125771
0,0,1,0,0,125778
0,0,1,0,0,125783
0,0,1,0,0,130708
0,0,1,0,0,130715
0,0,1,0,0,130722
0,0,1,0,0,130729
0,0,1,0,0,135624
