SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,GetFileType,NtReadFile,NtWriteFile,CryptAcquireContextW,CreateThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,shutdown,connect,bind,recv,send,InternetReadFile,InternetWriteFile
2,0,0,0,6,615,4,1,2,0,0,0,2,754,34,1,9,170,0,535,0,0,268,16,25,0,0,0,0,0,0,0,0
5772,0,1800,1,12,4180,7066,3,8,3,2,2,7,16422,69,2,24,490,13,1224,9,0,749,38,63,0,0,0,0,0,0,2,0
8060,1007,3948,64,38,7460,15257,6,31,16,4,4,23,31293,102,3,65,4294,162,5190,100,55,5130,2302,725,0,1,0,4,0,0,5,0
8081,1007,3966,64,38,7522,15335,10,51,31,4,4,24,31294,102,3,68,4425,170,5221,107,55,5280,3403,789,53,4,53,67,110,67,178,41
8715,1007,4263,65,50,7826,17554,12,59,32,4,4,27,42120,140,4,74,4764,186,5924,118,55,5779,3419,820,53,4,53,67,110,67,182,41
10032,1007,5177,66,56,8741,21896,14,67,33,4,4,30,56982,176,5,80,5109,202,6635,129,55,6286,3441,859,53,4,53,67,110,67,185,41
10609,1007,5474,67,62,9044,23891,16,75,34,4,4,33,67244,214,6,86,5447,214,7342,139,55,6788,3461,894,53,4,53,67,110,67,187,41
10613,1007,5474,68,65,476541,23894,16,78,36,4,4,39,67250,214,6,95,5733,217,8015,144,55,7237,3489,934,53,4,53,67,110,67,187,41
12003,1007,6872,69,72,477949,30305,18,85,37,4,4,42,79098,253,7,104,6149,230,8748,155,61,7764,3513,978,53,6,53,70,110,67,192,41
12003,1007,6873,69,72,477950,30305,18,85,37,5,5,43,79098,253,7,104,6149,230,8748,155,61,7764,3513,978,53,6,53,70,110,67,192,41
12003,1007,6874,69,77,477951,30306,18,85,38,6,6,46,79099,253,7,113,6181,230,8770,155,61,7782,3523,989,53,6,53,70,110,67,192,41
16709,1021,9446,423,122,483374,38418,30,173,98,6,6,61,98338,293,8,127,30319,1858,29528,655,297,34741,5956,2099,53,8,53,76,110,67,196,41
19390,1021,11492,424,131,485408,47098,32,180,99,6,6,71,125292,324,9,151,30640,1870,30194,665,297,35219,6215,2536,53,8,53,76,110,67,199,41
22607,1030,13635,495,151,487662,57120,35,205,109,6,6,80,151410,363,10,167,34627,2020,35971,753,322,40090,8261,2822,53,8,53,76,110,67,207,41
24886,2039,15767,564,174,493429,67383,38,228,121,8,8,91,169899,401,11,194,38956,2163,41784,841,351,45288,9891,3229,53,8,53,76,110,67,209,41
24886,2039,15767,564,174,493429,67383,38,228,121,8,8,91,169899,401,11,194,38956,2163,41784,841,351,45288,9891,3229,53,8,53,76,110,67,209,41
24898,2039,15776,564,175,493464,67408,45,234,128,8,8,94,169900,401,11,201,39081,2171,41815,848,351,45419,11282,3301,70,8,70,96,134,85,347,69
24900,2039,15776,564,177,493466,67408,45,236,130,8,8,96,169900,401,11,205,39119,2171,41838,848,351,45438,11289,3309,70,8,70,96,134,85,347,69
24913,2039,15786,564,178,493504,67440,52,242,137,8,8,99,169901,401,11,212,39246,2179,41869,855,351,45571,12937,3376,91,8,91,121,162,108,449,105
24913,2039,15794,564,182,493509,67442,52,242,139,9,9,101,169901,435,12,219,39358,2179,41884,855,382,45595,12946,3386,95,8,95,121,162,108,449,105
29924,2586,18436,815,1053,497863,77455,61,328,188,11,11,115,233923,474,13,237,55473,3276,59501,1224,597,63256,14821,4271,101,8,101,131,169,108,451,105
31845,2586,19945,816,1059,499360,83631,63,336,189,11,11,118,252670,512,14,243,55809,3288,60208,1234,597,63758,14841,4306,101,8,101,131,169,108,453,105
34464,3295,22429,884,1082,502763,95014,66,357,201,13,13,129,267877,550,15,270,59927,3432,65836,1318,632,68616,16350,4619,101,10,101,134,169,108,458,105
37249,3295,24488,885,1086,504810,104095,68,364,203,13,13,135,292774,582,16,279,60265,3444,66546,1328,632,69111,16378,4665,101,10,101,134,169,108,461,105
40262,3296,26563,888,1098,507311,114077,70,374,206,13,13,142,325171,620,17,288,61139,3457,67725,1339,646,70329,16445,4781,101,10,101,138,169,108,465,105
43487,3305,28709,959,1118,509661,124136,73,399,216,13,13,173,351338,655,18,303,65209,3602,73570,1427,685,75226,17849,5100,101,10,101,142,169,108,469,105
44550,3305,29776,960,1125,510743,129215,75,406,217,13,13,176,361151,694,19,312,65608,3614,74272,1434,691,75666,17874,5145,101,13,101,146,169,108,470,105
44618,3305,29782,961,1131,510758,129447,77,412,220,15,15,181,363674,730,20,327,65932,3632,74959,1445,691,76144,17924,5229,101,13,101,146,169,108,473,105
47836,3314,31924,1035,1151,513015,139472,80,436,230,15,15,190,388959,769,21,341,69879,3782,80703,1534,717,80958,19954,5512,101,13,101,146,169,108,481,105
53336,3699,34602,1313,2030,517670,149526,90,539,287,17,17,206,427419,808,22,359,88591,5056,99917,1965,942,101273,21386,6566,107,13,107,156,181,108,483,105
55438,3699,36217,1314,2465,519308,155494,92,544,290,19,19,211,437195,828,23,374,88997,5062,100631,1968,956,101720,21417,6619,107,13,107,160,181,108,484,105
55438,3699,36218,1314,2470,519309,155495,92,544,291,20,20,214,437196,828,23,383,89033,5062,100657,1968,956,101744,21427,6630,107,13,107,160,181,108,484,105
55438,3699,36219,1314,2475,519310,155496,92,544,292,21,21,217,437197,828,23,392,89069,5062,100683,1968,956,101768,21437,6641,107,13,107,160,181,108,484,105
55515,3699,36225,1315,2481,519325,155636,94,550,295,23,23,222,439257,865,24,407,89392,5076,101372,1978,956,102249,21456,6676,107,13,107,160,181,108,486,105
55515,3699,36226,1315,2486,519326,155637,94,550,296,24,24,225,439258,865,24,416,89424,5076,101394,1978,956,102267,21466,6687,107,13,107,160,181,108,486,105
55515,3699,36226,1315,2486,519326,155637,94,550,296,24,24,225,439259,865,24,419,89429,5076,101395,1978,956,102270,21467,6688,107,13,107,160,181,108,486,105
58015,3699,38239,1316,2492,521327,163635,97,558,297,24,24,228,459729,903,25,425,89832,5088,102159,1988,956,102887,21490,6737,107,13,107,160,181,108,489,105
58950,3699,38536,1317,2498,521926,165883,98,564,298,24,24,231,473633,934,26,436,90157,5098,102847,1996,956,103374,21510,6774,107,13,107,160,181,108,491,105
58950,3699,38536,1317,2499,521927,165884,103,565,300,24,24,234,473634,934,26,443,90158,5098,102847,1996,956,103376,21521,7738,107,13,107,160,181,108,491,105
60491,3699,38925,1318,2505,522705,168571,105,571,303,26,26,239,486535,969,27,458,90483,5112,103540,2006,956,103863,21543,7776,107,13,107,160,181,108,492,105
60712,3699,38965,1319,2511,522790,169250,106,576,304,26,26,242,496694,1003,28,467,90755,5114,104188,2012,956,104304,21563,7806,107,13,107,160,181,108,492,105
62983,4708,41116,1385,2528,558904,177391,109,597,314,26,26,253,512808,1034,29,488,94527,5254,109798,2100,985,108926,23165,8110,107,13,107,160,181,108,499,105
65626,4708,43162,1386,2534,560938,185916,111,605,315,26,26,256,536862,1072,30,494,94874,5270,110509,2111,985,109437,23193,8155,107,13,107,160,181,108,502,105
66480,4708,44017,1387,2541,561813,190133,113,612,316,26,26,259,543588,1104,31,503,95364,5284,111309,2122,991,110012,23217,8199,107,13,107,165,181,108,507,105
69696,4715,46159,1450,2558,564564,200158,116,635,325,26,26,267,578332,1139,32,517,98928,5429,115173,2211,1013,114253,25214,8442,107,13,107,165,181,108,513,105
71053,4715,47526,1451,2565,566167,206444,118,642,326,26,26,270,587780,1173,33,526,99342,5443,115904,2222,1019,114778,25237,8485,107,15,107,168,181,108,519,105
73822,4715,49583,1452,2571,568212,215462,120,650,327,26,26,273,612768,1208,34,532,99687,5459,116615,2233,1019,115285,25259,8524,107,15,107,168,181,108,522,105
74228,4715,49770,1453,2577,568398,216890,122,658,328,26,26,278,620533,1239,35,538,100022,5475,117320,2244,1019,115788,25283,8563,107,15,107,168,181,108,525,105
79278,4716,51844,1456,2591,572660,226821,123,665,330,26,26,283,654327,1274,36,544,100685,5490,118336,2254,1019,116838,25338,8661,107,15,107,168,181,108,528,105
82277,4716,53146,1457,2599,575268,232387,124,672,331,26,26,286,672481,1308,37,550,101136,5504,119137,2263,1033,117408,25366,8708,107,15,107,172,181,108,529,105
83153,4716,53443,1458,2607,575867,234400,125,679,332,26,26,289,684491,1343,38,556,101467,5514,119827,2271,1033,117912,25386,8743,107,15,107,172,181,108,533,105
83153,4716,53444,1458,2612,575868,234401,125,679,333,27,27,292,684492,1343,38,565,101499,5514,119849,2271,1033,117930,25396,8754,107,15,107,172,181,108,533,105
83155,4716,53444,1458,2612,575870,234401,125,680,333,27,27,294,684492,1343,38,568,101537,5514,119860,2271,1033,117949,25399,8757,107,15,107,172,181,108,533,105
84752,4716,54630,1459,2616,577051,239596,127,687,335,27,27,300,699489,1375,39,577,101876,5526,120570,2281,1033,118444,25427,8803,107,15,107,172,181,108,536,105
85030,4716,54683,1460,2622,577122,240663,129,695,336,27,27,305,707097,1406,40,583,102345,5540,121363,2292,1036,119022,25452,8847,107,15,107,177,181,108,539,105
88246,4725,56818,1518,2641,579357,250683,132,720,346,27,27,314,732217,1442,41,597,105881,5688,126757,2381,1054,123412,25611,9086,107,15,107,177,181,108,547,105
95567,4732,58922,1581,2661,583761,260715,135,742,358,29,29,325,767752,1474,42,624,108757,5832,131416,2468,1065,127114,26407,9373,107,15,107,177,181,108,549,105
98325,4732,60977,1582,2667,585803,269695,137,750,359,29,29,328,793135,1509,43,630,109104,5848,132127,2479,1065,127625,26435,9418,107,15,107,177,181,108,552,105
103578,4739,63078,1645,2687,590668,279687,139,772,369,29,29,337,826015,1542,44,650,111979,5984,136925,2564,1076,131341,27197,9699,107,15,107,177,181,108,552,105
106089,4739,65097,1646,2693,592675,287714,141,780,370,29,29,340,847780,1575,45,656,112310,6000,137626,2575,1076,131838,27213,9730,107,15,107,177,181,108,556,105
108756,4739,67145,1647,2702,594711,296334,143,787,373,31,31,350,872917,1613,46,686,112639,6015,138292,2587,1076,132317,27474,10169,107,15,107,177,181,108,559,105
108760,4739,67145,1647,2709,594717,296336,145,787,373,31,31,357,872919,1613,46,707,112680,6017,138317,2587,1076,132341,27716,10577,107,15,107,177,181,108,559,105
112098,4740,69581,1668,3555,597200,305649,147,793,376,33,33,362,892201,1655,47,722,114130,6024,141696,2594,1090,134014,27830,10658,107,15,107,181,181,108,561,105
112765,4740,69878,1669,3561,597504,308002,149,801,377,33,33,365,902807,1692,48,728,114465,6040,142401,2605,1090,134515,27850,10693,107,15,107,181,181,108,565,105
114749,4740,71389,1670,3992,599036,313637,151,806,380,35,35,370,911667,1731,49,743,114882,6046,143110,2608,1096,134967,27881,10746,107,15,107,186,181,108,566,105
